iter	MAE	RMSE
391	0.2516895089	0.4162419624
392	0.2513932113	0.4154867854
393	0.2503784319	0.4145817189
394	0.2492854107	0.4136341692
395	0.2486404194	0.4124626971
396	0.2482330552	0.4113665468
397	0.2479096176	0.4103576014
398	0.2474464007	0.4095186882
399	0.2467357515	0.4087577872
400	0.2461307673	0.4078487715
401	0.2458330633	0.406906681
402	0.2452636165	0.4056220259
403	0.2446277138	0.4046130399
404	0.2439338718	0.4033048983
405	0.2435658455	0.4022673803
406	0.243161655	0.401249104
407	0.2428029935	0.4002191998
408	0.2424372082	0.3991044029
409	0.2421662838	0.3982785265
410	0.2417751701	0.3970851087
411	0.2411909074	0.3958577611
412	0.2403291987	0.3948931424
413	0.2399432945	0.3939169357
414	0.2394831023	0.3930063827
415	0.2391793501	0.3922844326
416	0.238593248	0.3916177165
417	0.2382916161	0.3908543791
418	0.2381770084	0.3903751498
419	0.2376997363	0.3895824183
420	0.2372083951	0.3884823588
421	0.2370807099	0.3880275386
422	0.236312716	0.3873167263
423	0.2358089696	0.386149193
424	0.2354122498	0.3851836407
425	0.2351637027	0.3843866776
426	0.2343008756	0.3834669239
427	0.233772378	0.3825128233
428	0.2328994311	0.3818412748
429	0.232298758	0.3811065261
430	0.2319633502	0.3804078417
431	0.2314693661	0.3794218062
432	0.2309874715	0.3784750875
433	0.2307028091	0.3777711546
434	0.2304000558	0.3769541002
435	0.2298667036	0.3761051696
436	0.2295027822	0.3752336459
437	0.2290535093	0.374328351
438	0.2288549863	0.3737415743
439	0.2280684552	0.3731239272
440	0.2277943219	0.3725947962
441	0.2272466755	0.372081365
442	0.2270211138	0.3715446175
443	0.2267698053	0.3708642256
444	0.2265106585	0.3700993402
445	0.2261840375	0.3691512889
446	0.2258595075	0.3683736465
447	0.2253662638	0.3675497463
448	0.2250884323	0.3669972123
449	0.2245330412	0.3660922074
450	0.2241546816	0.3652446662
451	0.22364452	0.3645071186
452	0.2233308621	0.3637333817
453	0.2231124904	0.3631084834
454	0.2227637137	0.3624678828
455	0.2222366572	0.3615098723
456	0.2219598511	0.3606748792
457	0.2217446528	0.3599296841
458	0.2215275357	0.3591690548
459	0.2212390914	0.3584242788
460	0.2210179739	0.3578864462
461	0.2202651051	0.3570950503
462	0.2200280633	0.3565419461
463	0.2195778078	0.3557585895
464	0.2192536037	0.3549084584
465	0.2190357199	0.3542669641
466	0.2187468535	0.3537737102
467	0.2181782971	0.3531520598
468	0.2178469254	0.3522445813
469	0.2175580846	0.3514688206
470	0.2172158828	0.3506277623
471	0.2167499509	0.3496409557
472	0.2162056517	0.3490157001
473	0.2159186464	0.3481764017
474	0.2154920001	0.3473057173
475	0.2152776264	0.3467867672
476	0.2150921347	0.3463056517
477	0.2146028302	0.345395526
478	0.2144466817	0.3450212105
479	0.2141978713	0.3443057687
480	0.2138196015	0.3436038245
481	0.2136389751	0.343076733
482	0.2130208843	0.342543452
483	0.2127280475	0.341805248
484	0.2125326361	0.3412865336
485	0.2121949086	0.3404640886
486	0.2117003335	0.3396959209
487	0.2115477877	0.3393186994
488	0.2109899811	0.3386533553
489	0.2104212322	0.3377621415
490	0.2100249601	0.3371335064
491	0.2098484508	0.3367068693
492	0.2096363293	0.3361445106
493	0.2091471548	0.3354716123
494	0.2089019261	0.3349622282
495	0.2086114352	0.3343666713
496	0.207863378	0.3336364887
497	0.207590774	0.3330183813
498	0.2072139605	0.3323586615
499	0.2067498931	0.3317831869
500	0.206437133	0.3313166758
501	0.2059645695	0.3305984288
502	0.2057492874	0.3301337212
503	0.2055788456	0.3295619758
